evaluation,model,accuracy_mean,accuracy_std,f1_mean,f1_std,balanced_accuracy_mean,balanced_accuracy_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,brier_mean,brier_std,calibration_intercept_mean,calibration_intercept_std,calibration_slope_mean,calibration_slope_std
5-fold CV,Bagged Trees,0.7278143188295191,0.002491620822803689,0.7067098769353506,0.0037539872455839597,0.7277714891591522,0.0024931913408858283,0.7944143697541042,0.002801486877333611,0.7782159791167989,0.0034793947574876154,0.1841619756113327,0.0014245663797344875,0.004722132938128853,0.015432673023202505,1.0642480353871075,0.025477301223998137
5-fold CV,Decision Tree,0.726257175968003,0.0027295229259122196,0.7112938779543849,0.013431625732837755,0.7262263781302105,0.002745550215336187,0.7870186389981562,0.0034592075321060838,0.7745108796410778,0.006417553011130755,0.1852365399368482,0.0016831259811502972,0.00013825502573693444,0.013266454093988068,0.9965204879434146,0.02483982666396592
5-fold CV,Gaussian NB,0.5907714267242711,0.005704223676427763,0.41815998517209785,0.0233821666409993,0.5905943494432035,0.005706863883087656,0.6917451615922557,0.0027844226052698194,0.6690932507940087,0.0034753703478099178,0.2889321069981744,0.014350454723778248,0.2504209011831578,0.07264982466763563,0.2839588007818417,0.018513348186396487
5-fold CV,LACVE,0.730242900471939,0.002289705638077859,0.7068350521742934,0.004729145030656869,0.7301955960731539,0.0022906580417992838,0.7949951354907576,0.0035776919852458784,0.7755137353682352,0.00591160455433213,0.18429938497177992,0.0014728271676608302,0.08216681960298731,0.023852938998973467,1.162388797178572,0.02265712455778085
5-fold CV,LR,0.7210001035107877,0.004503817813446361,0.7082972927032418,0.0036147638892364297,0.7209742843775055,0.004501560596833908,0.7844239938017638,0.005495145698118941,0.7644832424466055,0.007922985956698098,0.1918542787016568,0.002280293539547265,0.00603139018482322,0.009764879286937473,1.128261846102956,0.06085245282340455
held-out,Bagged Trees,0.7236428571428571,,0.7082862097564654,,0.7236130117920039,,0.7908887480453055,,0.7741228803179944,,0.18585616145374603,,-0.009162668156226959,,1.0286979560509764,
held-out,Decision Tree,0.7232142857142857,,0.720841437936748,,0.7232096647215231,,0.7848422766831924,,0.7672789410112666,,0.18686457002726262,,-0.011456418060337335,,0.9702744942108319,
held-out,Gaussian NB,0.5856428571428571,,0.39966883990479146,,0.5854660279072744,,0.6926103690156307,,0.6707818137282306,,0.301741610962255,,0.31612750817986623,,0.2877147885557204,
held-out,LACVE,0.7277857142857143,,0.7039540122737513,,0.7277399519150863,,0.7913611359546566,,0.7696037339758386,,0.1858504893875917,,0.06827225847674694,,1.1250193092362502,
held-out,LR,0.718,,0.705592841163311,,0.7179761528085398,,0.7808394794577892,,0.760622214470945,,0.19251504946454037,,-0.013150607754064151,,1.0428511118827504,
