model,threshold,net_benefit,treat_all_net_benefit,treat_none_net_benefit
LR,0.1,0.4434047619047619,0.44412698412698415,0.0
LR,0.2,0.3818392857142857,0.37464285714285717,0.0
LR,0.3,0.3190408163265306,0.2853061224489796,0.0
LR,0.4,0.26988095238095233,0.16619047619047622,0.0
LR,0.5,0.2177142857142857,-0.0005714285714285006,0.0
Decision Tree,0.1,0.44412698412698415,0.44412698412698415,0.0
Decision Tree,0.2,0.3825357142857143,0.37464285714285717,0.0
Decision Tree,0.3,0.32305102040816325,0.2853061224489796,0.0
Decision Tree,0.4,0.2689761904761905,0.16619047619047622,0.0
Decision Tree,0.5,0.22292857142857145,-0.0005714285714285006,0.0
Bagged Trees,0.1,0.44412698412698415,0.44412698412698415,0.0
Bagged Trees,0.2,0.382625,0.37464285714285717,0.0
Bagged Trees,0.3,0.32482653061224487,0.2853061224489796,0.0
Bagged Trees,0.4,0.27502380952380956,0.16619047619047622,0.0
Bagged Trees,0.5,0.22335714285714287,-0.0005714285714285006,0.0
Gaussian NB,0.1,0.3836349206349206,0.44412698412698415,0.0
Gaussian NB,0.2,0.22428571428571425,0.37464285714285717,0.0
Gaussian NB,0.3,0.15601020408163266,0.2853061224489796,0.0
Gaussian NB,0.4,0.11628571428571428,0.16619047619047622,0.0
Gaussian NB,0.5,0.08535714285714285,-0.0005714285714285006,0.0
LACVE,0.1,0.44412698412698415,0.44412698412698415,0.0
LACVE,0.2,0.38360714285714287,0.37464285714285717,0.0
LACVE,0.3,0.3258979591836735,0.2853061224489796,0.0
LACVE,0.4,0.27654761904761904,0.16619047619047622,0.0
LACVE,0.5,0.22749999999999998,-0.0005714285714285006,0.0
