evaluation,fold,model,raw_weight,normalized_weight
held-out,,LR,3.317537905407454,0.17449599615720776
held-out,,Decision Tree,3.6236131785428523,0.19059495605086757
held-out,,Bagged Trees,3.686184939530003,0.19388610812691975
held-out,,Random-Subspace Forest,4.049680140798813,0.21300524377880783
held-out,,Extra-Randomized Trees,3.6520696431405537,0.19209171035441136
held-out,,Gaussian NB,0.6830289600653145,0.03592598553178567
5-fold CV,1,LR,2.3914917735323944,0.1447788925560921
5-fold CV,1,Decision Tree,3.9767855774721035,0.24075124079938692
5-fold CV,1,Bagged Trees,3.0588436144077127,0.18517980948021182
5-fold CV,1,Random-Subspace Forest,3.2345807104312914,0.19581878487828994
5-fold CV,1,Extra-Randomized Trees,3.1818761892629603,0.19262809767129221
5-fold CV,1,Gaussian NB,0.674657157349258,0.04084317461472701
5-fold CV,2,LR,2.106130203103952,0.11581235467424685
5-fold CV,2,Decision Tree,3.5347895246228047,0.19437179027256146
5-fold CV,2,Bagged Trees,3.735251771459813,0.20539485275714525
5-fold CV,2,Random-Subspace Forest,4.105997285080715,0.22578148927851063
5-fold CV,2,Extra-Randomized Trees,4.0059543593495786,0.22028030669238738
5-fold CV,2,Gaussian NB,0.69758950360463,0.0383592063251484
5-fold CV,3,LR,3.0846449436424512,0.1783898123844186
5-fold CV,3,Decision Tree,3.960533360400963,0.22904380115459183
5-fold CV,3,Bagged Trees,3.09185523812019,0.1788067949229669
5-fold CV,3,Random-Subspace Forest,3.2532439624754015,0.18814015574234552
5-fold CV,3,Extra-Randomized Trees,3.216917664255273,0.18603934944453637
5-fold CV,3,Gaussian NB,0.6844029465588586,0.03958008635114079
