accuracy,precision,recall,f1,balanced_accuracy,roc_auc,pr_auc,brier,calibration_intercept,calibration_slope,tn,fp,fn,tp,model,evaluation,fold
0.718,0.7376052385406923,0.6762435677530018,0.705592841163311,0.7179761528085398,0.7808394794577892,0.760622214470945,0.19251504946454037,-0.013150607754064151,1.0428511118827504,5321,1683,2265,4731,LR,held-out,
0.7232142857142857,0.7266521423384168,0.7151229273870783,0.720841437936748,0.7232096647215231,0.7848422766831924,0.7672789410112666,0.18686457002726262,-0.011456418060337335,0.9702744942108319,5122,1882,1993,5003,Decision Tree,held-out,
0.7236428571428571,0.7494814105632679,0.6713836477987422,0.7082862097564654,0.7236130117920039,0.7908885847799461,0.7741227564201488,0.18585620713858497,-0.009163623484153624,1.0286975690742401,5434,1570,2299,4697,Bagged Trees,held-out,
0.7260714285714286,0.7700324619853067,0.6442252715837622,0.7015331932446106,0.726024686048877,0.7932247283999113,0.7792775105575693,0.18468577090209126,-0.011155596118521648,1.0111866563368919,5658,1346,2489,4507,Random-Subspace Forest,held-out,
0.7292857142857143,0.7756189821182944,0.6447970268724986,0.7041835778957228,0.729237462608151,0.7942435450591168,0.7801552485499624,0.18404562101479788,-0.010228517742657138,1.0334310348538116,5699,1305,2485,4511,Extra-Randomized Trees,held-out,
0.5856428571428571,0.724034495688039,0.27601486563750716,0.39966883990479146,0.5854660279072744,0.6926103690156307,0.6707818137282306,0.301741610962255,0.31612750817986623,0.2877147885557204,6268,736,5065,1931,Gaussian NB,held-out,
0.7289285714285715,0.7688560389719469,0.6542309891366496,0.7069271758436946,0.7288859114729507,0.7929031160499971,0.7735054120164426,0.18469079801645177,0.03655753386927163,1.0943571125065734,5628,1376,2419,4577,LACVE+,held-out,
0.7198080054855576,0.7405146506386175,0.6762435677530018,0.7069212838443609,0.7197818832426136,0.7842522019729231,0.7668012147740276,0.19167211852261778,0.0028833180328713373,1.1362611903688278,8911,2763,3775,7885,LR,5-fold CV,1
0.7287648924316448,0.7666833416708354,0.6572041166380789,0.707734934195336,0.7287219829378504,0.7879921691956823,0.7773817179616457,0.18441574145603812,-0.003807071037578428,1.0137312737800712,9342,2332,3997,7663,Decision Tree,5-fold CV,1
0.7284649010028285,0.762214342001576,0.6636363636363637,0.7095176966807263,0.7284260283146697,0.7947058247043539,0.7825674707333719,0.18335090229182294,0.0052876607331633005,1.0764540652186259,9260,2414,3922,7738,Bagged Trees,5-fold CV,1
0.7348932887631782,0.7769682250556568,0.6584905660377358,0.7128400334230804,0.7348474759261834,0.7975940949834718,0.786619357000517,0.18186812885735004,0.0022271466743032796,1.0647143285939629,9470,2204,3982,7678,Random-Subspace Forest,5-fold CV,1
0.7363503899888575,0.7678467224275433,0.6771012006861064,0.7196244644973111,0.7363148628066475,0.7990639796812844,0.7858903503139478,0.18145613341205977,0.005790383156720608,1.069672681876692,9287,2387,3765,7895,Extra-Randomized Trees,5-fold CV,1
0.5890974543584468,0.7144039735099338,0.2960548885077187,0.4186272131942761,0.5889217392684216,0.6824388086175286,0.6645895485163318,0.2891412385094122,0.2392678329191735,0.27760800785091755,10294,1380,8208,3452,Gaussian NB,5-fold CV,1
0.7353218479472015,0.7730531766580363,0.6657804459691252,0.7154179338309833,0.7352801493165825,0.7975299965823981,0.781606675170195,0.18235019369812266,0.04970300999448563,1.1436860369935151,9395,2279,3897,7763,LACVE+,5-fold CV,1
0.7172366503814177,0.7370294062558531,0.6749571183533448,0.704628883516877,0.7172112985976078,0.7806199714896189,0.7607690877320654,0.19384733528114723,0.011827461504112855,1.1767935036418047,8866,2808,3790,7870,LR,5-fold CV,2
0.725164995285849,0.726966000519076,0.7206689536878216,0.7238037813859339,0.7251622993554749,0.7838010961597969,0.7699701745779992,0.18686863796455574,-0.0010220701793403307,0.9651305243058901,8518,3156,3257,8403,Decision Tree,5-fold CV,2
