evaluation,model,accuracy_mean,accuracy_std,f1_mean,f1_std,balanced_accuracy_mean,balanced_accuracy_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,brier_mean,brier_std,calibration_intercept_mean,calibration_intercept_std,calibration_slope_mean,calibration_slope_std
5-fold CV,Bagged Trees,0.7261571187358938,0.0020224430196618256,0.7078742931381926,0.00531641966392171,0.7261199321424866,0.0020224325553364836,0.7939244388824219,0.0022260398201249996,0.7786495044646702,0.0038728996606469863,0.18427105274297828,0.0013978216837345681,0.004607937511593393,0.0024377264629519323,1.0587351371127662,0.028384845031638316
5-fold CV,Decision Tree,0.7267714175127802,0.0018308938267487741,0.7194170147827977,0.010220967033804526,0.7267565429083592,0.0018086395218070129,0.7871479997933596,0.0030148021945388724,0.7741583193426366,0.003798788645877344,0.1852241739163063,0.001424214496644144,-0.0012648665742377434,0.0024299208925422345,0.9979508509665788,0.02843021200596817
5-fold CV,Extra-Randomized Trees,0.7325000616058418,0.005270326518860241,0.7140651795640084,0.011034230378583513,0.7324619172622988,0.005280115342194204,0.7971993910863073,0.0026081639017486824,0.7825245277619325,0.0033924342239962163,0.18253016431694438,0.0014914067657705414,0.0041020860448896515,0.0016766643678223043,1.0499858248791671,0.031189198256932404
5-fold CV,Gaussian NB,0.5900285340234677,0.0019493095275714236,0.4160216503652989,0.010183525343712786,0.5898500317008062,0.0019531534520284854,0.6909826298563981,0.00759260324607924,0.6696409704660641,0.0044161826525860055,0.2889112428367217,0.005797324581548132,0.24548601091613031,0.02109808023111795,0.280882362825692,0.0068833805786091655
5-fold CV,LACVE+,0.7318285787460517,0.003628111142124979,0.7105227500661186,0.005381590441854744,0.7317847165372408,0.003630878440452702,0.7964826382343704,0.0020647566180619858,0.7792997573818562,0.0020016274264465493,0.18313297094795175,0.0011672586551485528,0.049851168041174676,0.004799731638748066,1.1254015470994172,0.028583173493502485
5-fold CV,LR,0.7203715342403605,0.0034513270873724566,0.7074526072200144,0.0031234645013252004,0.7203452906496713,0.003450369317119113,0.7842329304757446,0.0036033618881708123,0.7647066277102637,0.003412329958578102,0.1918987078595437,0.001845793423018094,0.005576460471732578,0.0054307636605864205,1.1260932382583515,0.05647496817600637
5-fold CV,Random-Subspace Forest,0.7308000073158009,0.004227128254640905,0.7080613327776524,0.005373967693924693,0.730753556182944,0.004228542793603213,0.7962973414197121,0.0025473720961275317,0.7815657426999304,0.0047034640793733795,0.18294295045224404,0.0015722162079522923,0.0022645049099652014,0.0010466526903165124,1.0454152656080535,0.03200450701593956
held-out,Bagged Trees,0.7236428571428571,,0.7082862097564654,,0.7236130117920039,,0.7908885847799461,,0.7741227564201488,,0.18585620713858497,,-0.009163623484153624,,1.0286975690742401,
held-out,Decision Tree,0.7232142857142857,,0.720841437936748,,0.7232096647215231,,0.7848422766831924,,0.7672789410112666,,0.18686457002726262,,-0.011456418060337335,,0.9702744942108319,
held-out,Extra-Randomized Trees,0.7292857142857143,,0.7041835778957228,,0.729237462608151,,0.7942435450591168,,0.7801552485499624,,0.18404562101479788,,-0.010228517742657138,,1.0334310348538116,
held-out,Gaussian NB,0.5856428571428571,,0.39966883990479146,,0.5854660279072744,,0.6926103690156307,,0.6707818137282306,,0.301741610962255,,0.31612750817986623,,0.2877147885557204,
held-out,LACVE+,0.7289285714285715,,0.7069271758436946,,0.7288859114729507,,0.7929031160499971,,0.7735054120164426,,0.18469079801645177,,0.03655753386927163,,1.0943571125065734,
held-out,LR,0.718,,0.705592841163311,,0.7179761528085398,,0.7808394794577892,,0.760622214470945,,0.19251504946454037,,-0.013150607754064151,,1.0428511118827504,
held-out,Random-Subspace Forest,0.7260714285714286,,0.7015331932446106,,0.726024686048877,,0.7932247283999113,,0.7792775105575693,,0.18468577090209126,,-0.011155596118521648,,1.0111866563368919,
