accuracy,precision,recall,specificity,f1,balanced_accuracy,roc_auc,pr_auc,brier,tn,fp,fn,tp,evaluation,fold,heldout_site,model,train_n,test_n
0.743421052631579,0.6703910614525139,0.8633093525179856,0.6424242424242425,0.7547169811320754,0.7528667974711141,0.8486156529321996,0.8207393981443385,0.17234011891171688,106,59,19,120,leave-site-out,,Cleveland,Logistic Regression,616,304
0.7401315789473685,0.65,0.935251798561151,0.5757575757575758,0.7669616519174042,0.7555046871593634,0.8686287333769348,0.8143296076373591,0.24654930506852904,95,70,9,130,leave-site-out,,Cleveland,Gaussian NB,616,304
0.7894736842105263,0.7586206896551724,0.7913669064748201,0.7878787878787878,0.7746478873239436,0.789622847176804,0.8557662960540658,0.8282628602223466,0.20233793793814536,130,35,29,110,leave-site-out,,Cleveland,Nearest Centroid,616,304
0.7368421052631579,0.6809815950920245,0.7985611510791367,0.6848484848484848,0.7350993377483444,0.7417048179638108,0.7957270547198605,0.77976549561236,0.18761662284786357,113,52,28,111,leave-site-out,,Cleveland,Shallow Tree,616,304
0.8191126279863481,0.7387387387387387,0.7735849056603774,0.8449197860962567,0.7557603686635945,0.8092523458783171,0.8893149026334376,0.8408097076905025,0.12858198475820554,158,29,24,82,leave-site-out,,Hungary,Logistic Regression,627,293
0.8293515358361775,0.8589743589743589,0.6320754716981132,0.9411764705882353,0.7282608695652174,0.7866259711431742,0.8938048632832206,0.8173017636094408,0.15278026849866602,176,11,39,67,leave-site-out,,Hungary,Gaussian NB,627,293
0.78839590443686,0.7291666666666666,0.660377358490566,0.8609625668449198,0.693069306930693,0.7606699626677429,0.8460296640096862,0.7993110411552965,0.17634114297013628,161,26,36,70,leave-site-out,,Hungary,Nearest Centroid,627,293
0.7952218430034129,0.6916666666666667,0.7830188679245284,0.8021390374331551,0.7345132743362832,0.7925789526788417,0.8408838664110584,0.8361382703900662,0.19712391010084684,150,37,23,83,leave-site-out,,Hungary,Shallow Tree,627,293
0.6991869918699187,0.9642857142857143,0.7043478260869566,0.625,0.8140703517587939,0.6646739130434782,0.6847826086956522,0.9577686331857362,0.20655592907042494,5,3,34,81,leave-site-out,,Switzerland,Logistic Regression,797,123
0.8130081300813008,0.96,0.8347826086956521,0.5,0.8930232558139534,0.6673913043478261,0.6510869565217391,0.9487862200950928,0.16936425200887018,4,4,19,96,leave-site-out,,Switzerland,Gaussian NB,797,123
0.7235772357723578,0.9550561797752809,0.7391304347826086,0.5,0.8333333333333333,0.6195652173913043,0.6869565217391305,0.9620362885428825,0.20845896701115255,4,4,30,85,leave-site-out,,Switzerland,Nearest Centroid,797,123
0.5203252032520326,0.9375,0.5217391304347826,0.5,0.6703910614525139,0.5108695652173914,0.657608695652174,0.9562464027946196,0.22164159757720497,4,4,55,60,leave-site-out,,Switzerland,Shallow Tree,797,123
0.7,0.8248175182481752,0.7583892617449665,0.5294117647058824,0.7902097902097901,0.6439005132254244,0.7182524016317936,0.8755632287242442,0.20132747465500414,27,24,36,113,leave-site-out,,VA Long Beach,Logistic Regression,720,200
0.69,0.8782608695652174,0.6778523489932886,0.7254901960784313,0.7651515151515152,0.70167127253586,0.7511514672983287,0.8844517285056811,0.28433183323561934,37,14,48,101,leave-site-out,,VA Long Beach,Gaussian NB,720,200
0.74,0.8344827586206897,0.8120805369127517,0.5294117647058824,0.8231292517006803,0.6707461508093171,0.728911698907751,0.8828630564936866,0.19142739748403279,27,24,28,121,leave-site-out,,VA Long Beach,Nearest Centroid,720,200
0.67,0.8373983739837398,0.6912751677852349,0.6078431372549019,0.7573529411764706,0.6495591525200684,0.670746150809317,0.8298285366758597,0.23301736034848147,31,20,46,103,leave-site-out,,VA Long Beach,Shallow Tree,720,200
